Task_ID,Nhóm,Hạng_mục,Trạng_thái,Ưu_tiên,Đã_có,Cần_làm_tiếp,Chủ_sở_hữu,Phụ_thuộc,Ghi_chú
M1.1,Nền tảng,Khung chạy bot,Đã xong,Cao,"Đã có supervisor, worker, frame schema, validation, ADB broker, inference scaffold",Nối khung này vào vòng chơi thật,,,
M1.2,ADB,Dọn hot path ADB,Đã xong,Cao,ADB không còn dùng để chụp ảnh; chỉ điều khiển và health check,Bổ sung action thật và retry theo loại thao tác,,,
M1.3,Nhận diện giả lập,Quét đúng giả lập MEmu,Đã xong,Cao,"Map được vm_index, title, pid, hwnd, adb_serial, android_serial",Lưu binding đã chọn vào config,,,
M1.4,UI,Launcher cho người vận hành,Đã xong,Cao,"Có giao diện chọn giả lập, chạy dừng bot, xem log, copy binding",Thêm preview ảnh và profile lưu sẵn,,,
M1.5,UI,Log dễ đọc hơn,Đang làm,Vừa,"Log đã ưu tiên title thay vì IP, watchdog đã gọn hơn","Thêm màu, lọc log, lưu log",,,
M1.6,UI,Graceful stop,Đang làm,Vừa,Đã có nút stop,Dừng mềm để không còn exit code xấu,,,
M2.1,Capture,Chụp ảnh thật từ giả lập,Làm tiếp,Cao,Đã có scaffold chụp theo cửa sổ,Thêm Windows Graphics Capture và live preview,,M1.4,
M2.2,Validation,Kiểm tra snapshot đúng sai,Đang làm,Cao,Đã có validate cơ bản,"Thêm rule kiểm tra bài, lượt, anchor thật",,M2.1,
M2.3,Perception,Nhận diện màn hình game,Làm tiếp,Cao,Đã có inference service scaffold,Nối YOLO OCR thật vào từng bot,,M2.1,
M2.4,State,Rút ra trạng thái game,Làm tiếp,Cao,Đã có adapter đơn giản,Parse trạng thái game từ kết quả nhận diện,,M2.3,
M3.1,Decision,Bot quyết định đánh gì,Làm tiếp,Cao,Có local agent placeholder,Thay bằng luật hoặc policy Tiến Lên thật,,M2.4,
M3.2,Action,Bot bấm chạm thật,Làm tiếp,Cao,Action executor mới là khung,Map tọa độ bài và nút bấm,,M2.4,
M3.3,Action,Xác nhận thao tác sau khi bấm,Làm tiếp,Cao,Kiến trúc đã chừa chỗ,Xác nhận lại bằng ảnh sau mỗi action,,M3.2,
M4.1,Multi-bot,Chạy nhiều bot thật sự,Làm tiếp,Cao,Kiến trúc đã hỗ trợ về mặt ý tưởng,Cho supervisor khởi chạy nhiều worker thật,,M3.3,
M4.2,Tài nguyên,Quản lý tài nguyên máy,Đang làm,Vừa,Có system monitor và limit cơ bản,Thêm ngưỡng CPU RAM GPU và giảm tải thông minh,,M4.1,
M4.3,Recovery,Tự hồi phục khi bot lỗi,Làm tiếp,Vừa,Có circuit breaker và ý tưởng restart riêng lẻ,Tự pause restart theo chính sách rõ ràng,,M4.1,
M5.1,Config,Lưu cấu hình người dùng,Làm tiếp,Vừa,Đã copy được binding stub,Lưu bot đã chọn và cấu hình ra file,,M1.4,
M5.2,Test,Test đầy đủ hơn,Đang làm,Vừa,Đã có parser tests và core invariant tests,Thêm UI smoke test và capture action integration test,,,
